
════════════════════════════════════════════════════════
    RITUAL OJOS — Beru rango MULTI (INVERSO USD)
    Santos: 1 · manos OFF · bridge PROPIO por Santo
    XRP
    FASE: HIERRO | SIM=True
════════════════════════════════════════════════════════

[RANGO] Levantando 1 puentes independientes (sin fila compartida)…
[RANGO] Flota multi 1 · cada uno pide a la API · sin disparos. Ctrl+C sella.

[2026-08-28 20:16:43] [IGRIS] LEVERAGE_MAX_OK: XRP · XRPUSD (inverse): 50x (techo catálogo)
[2026-08-28 20:16:43] [IGRIS] LEVERAGE_MAX_OK: XRP · XRPUSDT (linear): 100x (techo catálogo)
[RANGO] apalanc máx XRP: XRPUSD=50x(inverse), XRPUSDT=100x(linear)
[2026-08-28 20:16:44] [BERU_RANGO] WAKE: RANGO_XRP_2f37db52 0=1.382600 Vacío ±1.2% → trailing Oz 0.2% · masa $5.00 · Red→$5.
[BERU_RANGO] WAKE RANGO_XRP_2f37db52 0=1.3826 precio=1.3826 masa_usd=5.0
[RANGO] Wake XRPUSD_INVERSE 0=1.3826 · manos=OFF · mercado=inverse · bridge=PROPIO · pid=6500
[TANK] Trinidad 22 activos | pentiverso ['LTC', 'BTC'] | beru ['ETHUSDT_SPOT'] | ref: ETH (HIERRO).
[2026-08-28 20:16:47] [BRIDGE] TRINIDAD: Sentidos[beru_rango_inverse]: catalog 0+0 lin | 22+4 inv | 0 spot · WS 1 shards · tickers=1 · books=OFF · trades=ON · bases=XRP
[RANGO] XRPUSD_INVERSE last=1.3823 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3818 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3821 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3819 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3818 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3819 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.382 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.382 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3811 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3814 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3813 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.381 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.3806 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
[RANGO] XRPUSD_INVERSE last=1.381 · río=ciego/muleta · estado=ACECHANDO · manos=OFF · mercado=inverse · pid=6500 · bridge=PROPIO
