
════════════════════════════════════════════════════════
    RITUAL OJOS — Beru rango MULTI (lineal USDT)
    Santos: 1 · manos OFF · bridge PROPIO por Santo
    1INCH
    FASE: HIERRO | SIM=True
    Oído: tratos públicos ON (mecha trato a trato) · libros OFF
════════════════════════════════════════════════════════

[RANGO] Levantando 1 puentes independientes (sin fila compartida)…
[RANGO] Flota multi 1 · cada uno pide a la API · sin disparos. Ctrl+C sella.

[2026-09-01 20:13:18] [BERU_RANGO] WAKE: RANGO_1INCH_0964ab92 0=0.088330 Vacío ±1.2% → trailing Oz 0.2% · masa $0.20 · Red→$0.
[BERU_RANGO] WAKE RANGO_1INCH_0964ab92 0=0.08833 precio=0.08833 masa_usd=0.2
[RANGO] Wake 1INCH 0=0.08833 · manos=OFF · bridge=PROPIO · pid=1084
[TANK] Trinidad 22 activos | pentiverso ['LTC', 'BTC'] | beru ['ETHUSDT_SPOT'] | ref: BTC (HIERRO).
[2026-09-01 20:13:18] [OKX_BRIDGE] OJOS: WS tickers SWAP · 1 inst · bases=1INCH
[RANGO] 1INCHUSDT_LINEAL last=0.08833 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08824 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08822 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08822 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08829 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08829 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.0883 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08833 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08826 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08828 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08831 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08826 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08825 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08828 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08828 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08822 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.0883 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08833 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
[RANGO] 1INCHUSDT_LINEAL last=0.08833 · río=WS · estado=ACECHANDO · manos=OFF · pid=1084 · bridge=PROPIO
