
════════════════════════════════════════════════════════
    RITUAL OJOS — Beru rango MULTI (lineal USDT)
    Santos: 1 · manos OFF · bridge PROPIO por Santo
    A
    FASE: HIERRO | SIM=True
    Oído: tratos públicos ON (mecha trato a trato) · libros OFF
════════════════════════════════════════════════════════

[RANGO] Levantando 1 puentes independientes (sin fila compartida)…
[RANGO] Flota multi 1 · cada uno pide a la API · sin disparos. Ctrl+C sella.

[2026-09-01 20:30:35] [BERU_RANGO] WAKE: RANGO_A_a0228f8d 0=0.074300 Vacío ±1.2% → trailing Oz 0.2% · masa $0.20 · Red→$0.
[BERU_RANGO] WAKE RANGO_A_a0228f8d 0=0.0743 precio=0.0743 masa_usd=0.2
[RANGO] Wake A 0=0.0743 · manos=OFF · bridge=PROPIO · pid=19704
[TANK] Trinidad 22 activos | pentiverso ['LTC', 'BTC'] | beru ['ETHUSDT_SPOT'] | ref: BTC (HIERRO).
[2026-09-01 20:30:35] [OKX_BRIDGE] OJOS: WS tickers SWAP · 1 inst · bases=A
[RANGO] AUSDT_LINEAL last=0.0743 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.0743 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.0743 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.0743 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.07431 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.07431 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.07431 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.07431 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.07431 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
[RANGO] AUSDT_LINEAL last=0.07431 · río=WS · estado=ACECHANDO · manos=OFF · pid=19704 · bridge=PROPIO
