========================================================
  VIGILANTE BTC MIL — despertar escalonado piedra OKX
  Estado: C:\Users\lenovo\ShadowHarmy\data\beru\rango\despertar_mil_btc.json
  Intervalo: 30.0s · manos_go=False · dry_run=False
  Cada cruce: 1 rojo + 1 amarillo · proceso PROPIO por Santo
========================================================

[MIL] BTC=77117.20 zona=77000 · 1 cruce(s)
  cruce z=77000 arriba -> rojo=A amarillo=1INCH
  [OJOS] A pid=6220
  [OJOS] 1INCH pid=1084
[MIL] BTC=77116.10 zona=77000 · sin cruce
[MIL] BTC=77060.10 zona=77000 · sin cruce
[MIL] BTC=77060.70 zona=77000 · sin cruce
[MIL] BTC=77075.40 zona=77000 · sin cruce
[MIL] BTC=77102.20 zona=77000 · sin cruce
[MIL] BTC=77103.10 zona=77000 · sin cruce
[MIL] BTC=77159.60 zona=77000 · sin cruce
[MIL] BTC=77134.20 zona=77000 · sin cruce
[MIL] BTC=77120.70 zona=77000 · sin cruce
[MIL] BTC=77106.60 zona=77000 · sin cruce
[MIL] BTC=77130.00 zona=77000 · sin cruce
[MIL] BTC=77080.10 zona=77000 · sin cruce
[MIL] BTC=77119.80 zona=77000 · sin cruce
[MIL] BTC=77128.90 zona=77000 · sin cruce
[MIL] BTC=77175.90 zona=77000 · sin cruce
[MIL] BTC=77208.00 zona=77000 · sin cruce
[MIL] BTC=77212.30 zona=77000 · sin cruce
[MIL] BTC=77200.10 zona=77000 · sin cruce
[MIL] BTC=77198.80 zona=77000 · sin cruce
[MIL] BTC=77171.00 zona=77000 · sin cruce
[MIL] BTC=77176.00 zona=77000 · sin cruce
[MIL] BTC=77229.80 zona=77000 · sin cruce
[MIL] BTC=77217.10 zona=77000 · sin cruce
[MIL] BTC=77243.70 zona=77000 · sin cruce
[MIL] BTC=77211.20 zona=77000 · sin cruce
[MIL] BTC=77200.00 zona=77000 · sin cruce
[MIL] BTC=77181.40 zona=77000 · sin cruce
[MIL] BTC=77220.00 zona=77000 · sin cruce
[MIL] BTC=77242.50 zona=77000 · sin cruce
[MIL] BTC=77253.80 zona=77000 · sin cruce
[MIL] BTC=77312.50 zona=77000 · sin cruce
[MIL] BTC=77280.50 zona=77000 · sin cruce
[MIL] BTC=77290.80 zona=77000 · sin cruce
[MIL] BTC=77240.90 zona=77000 · sin cruce
[MIL] BTC=77213.20 zona=77000 · sin cruce
[MIL] BTC=77200.00 zona=77000 · sin cruce
[MIL] BTC=77264.90 zona=77000 · sin cruce
[MIL] BTC=77232.90 zona=77000 · sin cruce
[MIL] BTC=77242.80 zona=77000 · sin cruce
[MIL] BTC=77244.70 zona=77000 · sin cruce
[MIL] BTC=77239.50 zona=77000 · sin cruce
[MIL] BTC=77205.40 zona=77000 · sin cruce
[MIL] BTC=77243.70 zona=77000 · sin cruce
[MIL] BTC=77196.80 zona=77000 · sin cruce
[MIL] BTC=77230.00 zona=77000 · sin cruce
[MIL] BTC=77257.60 zona=77000 · sin cruce
[MIL] BTC=77231.90 zona=77000 · sin cruce
[MIL] BTC=77236.60 zona=77000 · sin cruce
[MIL] BTC=77172.30 zona=77000 · sin cruce
[MIL] BTC=77181.20 zona=77000 · sin cruce
[MIL] BTC=77196.50 zona=77000 · sin cruce
[MIL] BTC=77191.10 zona=77000 · sin cruce
[MIL] BTC=77188.90 zona=77000 · sin cruce
[MIL] BTC=77179.50 zona=77000 · sin cruce
[MIL] BTC=77157.70 zona=77000 · sin cruce
[MIL] BTC=77159.90 zona=77000 · sin cruce
[MIL] BTC=77154.90 zona=77000 · sin cruce
[MIL] BTC=77176.00 zona=77000 · sin cruce
[MIL] BTC=77134.50 zona=77000 · sin cruce
[MIL] BTC=77162.00 zona=77000 · sin cruce
[MIL] BTC=77171.20 zona=77000 · sin cruce
[MIL] BTC=77166.50 zona=77000 · sin cruce
[MIL] BTC=77171.30 zona=77000 · sin cruce
[MIL] BTC=77173.20 zona=77000 · sin cruce
[MIL] BTC=77190.20 zona=77000 · sin cruce
[MIL] BTC=77194.60 zona=77000 · sin cruce
[MIL] BTC=77194.00 zona=77000 · sin cruce
[MIL] BTC=77190.60 zona=77000 · sin cruce
[MIL] BTC=77211.50 zona=77000 · sin cruce
[MIL] BTC=77220.00 zona=77000 · sin cruce
[MIL] BTC=77200.00 zona=77000 · sin cruce
[MIL] BTC=77202.30 zona=77000 · sin cruce
[MIL] BTC=77214.20 zona=77000 · sin cruce
[MIL] BTC=77213.30 zona=77000 · sin cruce
[MIL] BTC=77202.20 zona=77000 · sin cruce
[MIL] BTC=77229.30 zona=77000 · sin cruce
[MIL] BTC=77248.90 zona=77000 · sin cruce
[MIL] BTC=77229.90 zona=77000 · sin cruce
[MIL] BTC=77231.70 zona=77000 · sin cruce
[MIL] BTC=77223.10 zona=77000 · sin cruce
[MIL] BTC=77239.30 zona=77000 · sin cruce
[MIL] BTC=77228.40 zona=77000 · sin cruce
[MIL] BTC=77200.00 zona=77000 · sin cruce
[MIL] BTC=77239.90 zona=77000 · sin cruce
[MIL] BTC=77239.00 zona=77000 · sin cruce
[MIL] BTC=77235.40 zona=77000 · sin cruce
[MIL] BTC=77241.80 zona=77000 · sin cruce
[MIL] BTC=77266.70 zona=77000 · sin cruce
[MIL] BTC=77279.70 zona=77000 · sin cruce
[MIL] BTC=77252.60 zona=77000 · sin cruce
[MIL] BTC=77285.10 zona=77000 · sin cruce
[MIL] BTC=77297.90 zona=77000 · sin cruce
[MIL] BTC=77272.90 zona=77000 · sin cruce
[MIL] BTC=77298.00 zona=77000 · sin cruce
[MIL] BTC=77358.80 zona=77000 · sin cruce
[MIL] BTC=77395.70 zona=77000 · sin cruce
[MIL] BTC=77370.50 zona=77000 · sin cruce
[MIL] BTC=77372.10 zona=77000 · sin cruce
[MIL] BTC=77369.90 zona=77000 · sin cruce
[MIL] BTC=77390.90 zona=77000 · sin cruce
[MIL] BTC=77397.30 zona=77000 · sin cruce
[MIL] BTC=77430.00 zona=77000 · sin cruce
[MIL] BTC=77441.70 zona=77000 · sin cruce
[MIL] BTC=77414.80 zona=77000 · sin cruce
[MIL] BTC=77403.90 zona=77000 · sin cruce
[MIL] BTC=77410.70 zona=77000 · sin cruce
[MIL] BTC=77428.10 zona=77000 · sin cruce
[MIL] BTC=77391.30 zona=77000 · sin cruce
[MIL] BTC=77426.80 zona=77000 · sin cruce
[MIL] BTC=77426.80 zona=77000 · sin cruce
[MIL] BTC=77388.20 zona=77000 · sin cruce
[MIL] BTC=77392.00 zona=77000 · sin cruce
[MIL] BTC=77420.10 zona=77000 · sin cruce
[MIL] BTC=77456.60 zona=77000 · sin cruce
[MIL] BTC=77545.00 zona=77000 · sin cruce
[MIL] BTC=77464.30 zona=77000 · sin cruce
[MIL] BTC=77448.50 zona=77000 · sin cruce
[MIL] BTC=77454.40 zona=77000 · sin cruce
[MIL] BTC=77449.90 zona=77000 · sin cruce
[MIL] BTC=77437.50 zona=77000 · sin cruce
[MIL] BTC=77460.70 zona=77000 · sin cruce
[MIL] BTC=77479.70 zona=77000 · sin cruce
[MIL] BTC=77470.10 zona=77000 · sin cruce
[MIL] BTC=77465.80 zona=77000 · sin cruce
[MIL] BTC=77464.10 zona=77000 · sin cruce
[MIL] BTC=77481.00 zona=77000 · sin cruce
[MIL] BTC=77507.90 zona=77000 · sin cruce
[MIL] BTC=77549.70 zona=77000 · sin cruce
[MIL] BTC=77567.40 zona=77000 · sin cruce
[MIL] BTC=77573.70 zona=77000 · sin cruce
[MIL] BTC=77555.00 zona=77000 · sin cruce
[MIL] BTC=77525.20 zona=77000 · sin cruce
[MIL] BTC=77550.80 zona=77000 · sin cruce
[MIL] BTC=77539.90 zona=77000 · sin cruce
[MIL] BTC=77516.70 zona=77000 · sin cruce
[MIL] BTC=77504.20 zona=77000 · sin cruce
[MIL] BTC=77485.60 zona=77000 · sin cruce
[MIL] BTC=77497.30 zona=77000 · sin cruce
[MIL] BTC=77509.90 zona=77000 · sin cruce
[MIL] BTC=77499.30 zona=77000 · sin cruce
[MIL] BTC=77499.30 zona=77000 · sin cruce
[MIL] BTC=77522.00 zona=77000 · sin cruce
[MIL] BTC=77539.70 zona=77000 · sin cruce
[MIL] BTC=77688.00 zona=77000 · sin cruce
[MIL] BTC=77755.70 zona=77000 · sin cruce
[MIL] BTC=77704.80 zona=77000 · sin cruce
[MIL] BTC=77672.60 zona=77000 · sin cruce
[MIL] BTC=77659.50 zona=77000 · sin cruce
[MIL] BTC=77626.70 zona=77000 · sin cruce
[MIL] BTC=77649.00 zona=77000 · sin cruce
[MIL] BTC=77639.80 zona=77000 · sin cruce
[MIL] BTC=77603.10 zona=77000 · sin cruce
